latitude, longitude,alt
45.632053333,-122.252491667,852.832821667
45.632053333,-122.252491667,855.055874563
45.632053333,-122.252491667,857.011871226
45.632053333,-122.252491667,859.969824312
45.632053333,-122.252491667,861.83251
45.632053333,-122.252491667,864.003084605
45.632053333,-122.252491667,866.010601189
45.632053333,-122.252491667,868.8373978
45.632055,-122.252491667,870.838202181
45.632056667,-122.25249,873.002859665
45.632061667,-122.252491667,875.224878573
45.632081667,-122.252496667,877.838245972
45.632095,-122.2525,880.05005083
45.632111667,-122.252505,882.000595485
45.63212,-122.252503333,884.963279746
45.632133333,-122.25251,886.835963795
45.63215,-122.252508333,888.998785155
45.632166667,-122.252501667,890.996295619
45.632178333,-122.252495,893.830003792
45.632193333,-122.252486667,895.833997568
45.632208333,-122.252475,897.998396073
45.632221667,-122.252468333,900.210295954
45.63224,-122.252456667,902.823038876
45.632258333,-122.252438333,905.044968964
45.63229,-122.252408333,906.99590141
45.632308333,-122.252391667,909.960771037
45.632331667,-122.252375,911.822514519
45.63235,-122.252348333,914.003061841
45.632368333,-122.252323333,915.995981868
45.632378333,-122.2523,918.819667294
45.63238,-122.252275,920.811410613
45.632388333,-122.252221667,922.98576706
45.632386667,-122.252186667,925.193546614
45.632386667,-122.252155,927.829596802
45.632386667,-122.25213,930.042503637
45.63238,-122.252096667,931.999707021
45.632375,-122.252073333,934.952774289
45.63237,-122.252056667,936.81899704
45.632378333,-122.25204,939.000712534
45.632378333,-122.252008333,941.00020684
45.632375,-122.251993333,943.827364118
45.632361667,-122.251986667,945.818115146
45.632336667,-122.251978333,947.991821989
45.632331667,-122.251976667,950.198245643
45.63233,-122.251988333,952.8248165
45.63233,-122.252,955.020315139
45.632328333,-122.252001667,956.992353506
45.632325,-122.252,959.951484947
45.632308333,-122.251988333,961.825553744
45.632295,-122.251981667,963.990399439
45.632253333,-122.251975,965.989027528
45.63223,-122.251971667,968.81463149
45.632203333,-122.251973333,970.814668379
45.632166667,-122.251986667,972.997322394
45.632151667,-122.252,975.188888697
45.632135,-122.252018333,977.822680104
45.632118333,-122.252036667,980.022400942
45.632096667,-122.252063333,981.981839925
45.632073333,-122.252083333,984.949343033
45.632055,-122.2521,986.812440305
45.632033333,-122.252115,988.995156366
45.631985,-122.252138333,990.984551197
45.631955,-122.252153333,993.818608019
45.631933333,-122.252168333,995.810342692
45.631898333,-122.252188333,997.982515532
45.631873333,-122.252203333,1000.175808605
45.631851667,-122.252216667,1002.804447105
45.631831667,-122.252231667,1005.01880866
45.631791667,-122.252251667,1006.980272348
45.63176,-122.252266667,1009.94239714
45.631735,-122.25228,1011.810092201
45.631713333,-122.252293333,1013.986588909
45.631683333,-122.252311667,1015.982140955
45.631661667,-122.252323333,1018.80804439
45.631651667,-122.25233,1020.807806265
45.63165,-122.252333333,1022.985372993
45.631648333,-122.252336667,1025.175421809
45.631645,-122.25234,1027.806878873
45.631645,-122.25234,1029.999897618
45.631643333,-122.252338333,1031.979973261
45.631641667,-122.252341667,1034.932703432
45.631633333,-122.25235,1036.806739642
45.631613333,-122.252358333,1038.982772033
45.631583333,-122.252373333,1040.983718466
45.631563333,-122.252385,1043.810581789
45.631533333,-122.2524,1045.804368034
45.631488333,-122.252421667,1047.98583114
45.631468333,-122.252433333,1050.17792077
45.631453333,-122.25244,1052.802557352
45.631441667,-122.252443333,1054.997595396
45.631436667,-122.252446667,1056.973535808
45.631436667,-122.252445,1059.929211894
45.631431667,-122.252446667,1061.808886824
45.631425,-122.252453333,1063.975399187
45.63142,-122.252458333,1065.976250932
45.631408333,-122.252461667,1068.810197382
45.631393333,-122.252465,1070.802032095
45.631376667,-122.252466667,1072.977499962
45.631365,-122.252463333,1075.175887173
45.631358333,-122.252461667,1077.800058105
45.631355,-122.252463333,1079.99838177
45.631343333,-122.252466667,1081.972945321
45.63134,-122.25247,1084.915834181
45.631341667,-122.252471667,1086.797411002
45.63134,-122.252473333,1088.9780936
45.63133,-122.252476667,1090.979788399
45.631313333,-122.252478333,1093.798702841
45.631303333,-122.252483333,1095.797294805
45.631285,-122.252493333,1097.978842824
45.63127,-122.252501667,1100.1650277
45.631253333,-122.252506667,1102.805623592
45.631236667,-122.252516667,1104.990319754
45.631206667,-122.252515,1106.975768806
45.63119,-122.252515,1109.921566587
45.631175,-122.25251,1111.806957633
45.631171667,-122.252508333,1113.968795701
45.631161667,-122.252503333,1115.976629309
45.631153333,-122.252501667,1118.801025348
45.631141667,-122.252496667,1120.79299815
45.631128333,-122.252498333,1122.974602698
45.631123333,-122.252493333,1125.170827614
45.631113333,-122.252488333,1127.79525184
45.631111667,-122.252488333,1129.992405409
45.63111,-122.252488333,1131.974429491
45.631105,-122.252476667,1134.921043441
45.63109,-122.252455,1136.799926531
45.63108,-122.252428333,1138.963149385
45.631065,-122.252375,1140.97294406
45.631055,-122.25234,1143.79992544
45.631041667,-122.252311667,1145.799247106
45.631025,-122.252268333,1147.962856122
45.631016667,-122.252243333,1150.168249305
45.631008333,-122.252213333,1152.797466771
45.630998333,-122.252183333,1154.984994569
45.630986667,-122.252141667,1156.97088896
45.630971667,-122.252115,1159.908670425
45.630956667,-122.252083333,1161.797305599
45.630936667,-122.252058333,1163.962986128
45.630895,-122.25203,1165.966588206
45.630868333,-122.252006667,1168.797428581
45.630843333,-122.251983333,1170.796156931
45.630815,-122.251946667,1172.96973548
45.630803333,-122.251915,1175.139575458
45.63079,-122.251881667,1177.7973753
45.630773333,-122.251848333,1179.909803731
45.630748333,-122.251798333,1181.943294391
45.630735,-122.251763333,1184.893769336
45.630718333,-122.251731667,1186.784980649
45.630701667,-122.251701667,1188.964518053
45.630681667,-122.251645,1190.9570671
45.630665,-122.251608333,1193.785166825
45.630651667,-122.25157,1195.792474775
45.630635,-122.251515,1197.956229435
45.630623333,-122.25148,1200.138807535
45.630613333,-122.251441667,1202.782323086
45.630606667,-122.251405,1204.96643982
45.63059,-122.251355,1206.962954105
45.63058,-122.251323333,1209.897165974
45.630571667,-122.251291667,1211.779389454
45.630558333,-122.251265,1213.954221179
45.630541667,-122.251223333,1215.962053233
45.630528333,-122.251191667,1218.787362111
45.630518333,-122.25116,1220.777182487
45.630495,-122.251115,1222.954820149
45.630478333,-122.251085,1225.145609331
45.630468333,-122.251058333,1227.786250568
45.630456667,-122.251025,1229.96382172
45.630441667,-122.250976667,1231.960481132
45.630426667,-122.250941667,1234.884779274
45.630416667,-122.250905,1236.783768403
45.630408333,-122.25087,1238.949587577
45.630391667,-122.250823333,1240.957574384
45.630383333,-122.250791667,1243.775896084
45.630375,-122.250758333,1245.780634487
45.630356667,-122.250705,1247.945635991
45.63035,-122.250668333,1250.132083567
45.630346667,-122.250628333,1252.78274592
45.630345,-122.250586667,1254.966452513
45.630341667,-122.250526667,1256.947125934
45.630345,-122.250493333,1259.879362238
45.630355,-122.250463333,1261.784862192
45.63037,-122.250436667,1263.955176986
45.630396667,-122.250406667,1265.947009921
45.630416667,-122.250385,1268.770631024
45.630435,-122.25038,1270.770230147
45.630456667,-122.250393333,1272.946074586
45.630476667,-122.2504,1275.141720887
45.630498333,-122.250405,1277.770585464
45.630521667,-122.250411667,1279.963199827
45.630555,-122.250416667,1281.95383304
45.63058,-122.250415,1284.881013108
45.630605,-122.250416667,1286.779456246
45.63063,-122.250415,1288.9497436
45.630665,-122.250421667,1290.953766483
45.630685,-122.25043,1293.766320705
45.630698333,-122.250436667,1295.773144785
45.630696667,-122.250438333,1297.944596458
45.63071,-122.250445,1300.126979608
45.630728333,-122.250456667,1302.774025465
45.630746667,-122.250468333,1304.953348587
45.630778333,-122.250491667,1306.951380101
45.630796667,-122.250501667,1309.888542828
45.63081,-122.250498333,1311.77669054
45.630831667,-122.250515,1313.941374835
45.63086,-122.250536667,1315.948889289
45.630871667,-122.250541667,1318.771202168
45.630881667,-122.25055,1320.763309357
45.630898333,-122.250566667,1322.935163857
45.630911667,-122.25058,1325.127876057
45.630918333,-122.250586667,1327.770555497
45.630915,-122.250593333,1329.967131248
45.63091,-122.250603333,1331.939871543
45.630908333,-122.250606667,1334.890020762
45.630908333,-122.25061,1336.773529784
45.63091,-122.250608333,1338.938999272
45.63091,-122.250605,1340.945497698
45.630906667,-122.250603333,1343.767113908
45.630905,-122.250603333,1345.77436394
45.630905,-122.250601667,1347.937828663
45.630905,-122.250603333,1350.14595472
45.630905,-122.250603333,1352.770035129
45.630906667,-122.250605,1354.959673582
45.630906667,-122.25061,1356.932541358
45.630908333,-122.250613333,1359.885571798
45.63091,-122.250615,1361.768712711
45.630913333,-122.250618333,1363.945646425
45.630916667,-122.250616667,1365.934286502
45.630918333,-122.250616667,1368.769055177
45.630918333,-122.25062,1370.768739843
45.630921667,-122.25062,1372.933372163
45.63092,-122.250618333,1375.138973037
45.630918333,-122.250618333,1377.767473873
45.630916667,-122.250616667,1379.958334415
45.630916667,-122.250616667,1381.944717897
45.630915,-122.25062,1384.892168218
45.630925,-122.250621667,1386.756576417
45.630931667,-122.250626667,1388.931120593
45.630931667,-122.25065,1390.932000204
45.630933333,-122.250665,1393.757805543
45.630933333,-122.250676667,1395.755298473
45.630931667,-122.250711667,1397.929913824
45.630935,-122.250733333,1400.142181814
45.630941667,-122.25076,1402.757476248
45.630953333,-122.250788333,1404.964900247
45.630961667,-122.250826667,1406.931764618
45.630965,-122.250853333,1409.878845534
45.630968333,-122.250875,1411.75425592
45.630968333,-122.250891667,1413.936796249
45.630965,-122.250926667,1415.927570885
45.630961667,-122.250958333,1418.753157794
45.630965,-122.250996667,1420.761698109
45.630966667,-122.251051667,1422.925472284
45.630973333,-122.251085,1425.134749867
45.630971667,-122.251113333,1427.750873469
45.630976667,-122.251135,1429.952428246
45.630986667,-122.25116,1431.921344596
45.630993333,-122.251181667,1434.874446617
45.630998333,-122.251198333,1436.755890015
45.631001667,-122.251216667,1438.928279988
45.631005,-122.251231667,1440.92935529
45.631001667,-122.251236667,1443.749627336
45.631001667,-122.251238333,1445.759274609
45.631001667,-122.251243333,1447.927913292
45.631001667,-122.251245,1450.124380485
45.631003333,-122.251245,1452.748267202
45.631005,-122.251245,1454.95419608
45.631005,-122.251246667,1456.916580773
45.631006667,-122.251248333,1459.87677055
45.631006667,-122.251248333,1461.751386189
45.631008333,-122.251248333,1463.920868796
45.631006667,-122.251246667,1465.926718916
45.631006667,-122.251245,1468.747420118
45.631003333,-122.251245,1470.755129931
45.631,-122.251245,1472.929640132
45.630998333,-122.25124,1475.131029767
45.630996667,-122.251238333,1477.746256323
45.630993333,-122.251236667,1479.954572054
45.630988333,-122.251233333,1481.926425302
45.630985,-122.251231667,1484.869551533
45.630983333,-122.25123,1486.74289198
45.630981667,-122.251228333,1488.919555903
45.63098,-122.25123,1490.927086947
45.63098,-122.25123,1493.750963973
45.630978333,-122.251231667,1495.744620627
45.630976667,-122.251233333,1497.91418524
45.630975,-122.251235,1500.115500961
45.630973333,-122.251236667,1502.750418027
45.630973333,-122.251236667,1504.95117428
45.630973333,-122.251236667,1506.913899328
45.630971667,-122.251238333,1509.864932095
45.630971667,-122.25124,1511.747388558
45.630973333,-122.25124,1513.913110784
45.63098,-122.251243333,1515.911737151
45.630983333,-122.251245,1518.741418816
45.630985,-122.251246667,1520.740407607
45.630986667,-122.251246667,1522.913810905
45.630986667,-122.251248333,1525.11635701
45.630985,-122.251248333,1527.737858836
45.630981667,-122.251246667,1529.946998477
45.630978333,-122.251243333,1531.913506422
45.630976667,-122.251241667,1534.862562457
45.630975,-122.251238333,1536.736738016
45.630973333,-122.251238333,1538.911639582
45.630973333,-122.251235,1540.910242507
45.630971667,-122.251233333,1543.736705578
45.63097,-122.251231667,1545.735394323
45.630968333,-122.251231667,1547.919418885
45.630966667,-122.251231667,1550.12288831
45.630965,-122.25123,1552.733723805
45.630965,-122.25123,1554.943406306
45.630963333,-122.25123,1556.912032016
45.63096,-122.251226667,1559.857477721
45.630958333,-122.251223333,1561.735290588
45.630956667,-122.251218333,1563.912780198
45.630951667,-122.251211667,1565.90969855
45.630948333,-122.25121,1568.741663696
45.630945,-122.25121,1570.736995534
45.630941667,-122.251206667,1572.898570624
45.630938333,-122.251206667,1575.102287326
45.630936667,-122.251206667,1577.738146857
45.630935,-122.251203333,1579.933899291
45.630931667,-122.2512,1581.905386077
45.630931667,-122.251198333,1584.851428153
45.630931667,-122.251196667,1586.729801618
45.63093,-122.251196667,1588.911856133
45.630928333,-122.251195,1590.902448871
45.630928333,-122.251191667,1593.726876627
45.630928333,-122.251191667,1595.727985442
45.630931667,-122.251198333,1597.91140071
45.630933333,-122.251201667,1600.101054327
45.630933333,-122.251203333,1602.725714369
